Session Associated Time;Session Duration;Client MAC Address;Host Name;Device;OS Type;Upstream Transferred (Bytes);Downstream Transferred (Bytes);Connected AP Name
18/10/2016 21:50;53 676,00;60:f1:89:49:3c:22;Samsung-Galaxy-S7-edge;Murata;Android;38 306,00;76 081,00;SALON-2C_AP3
18/10/2016 21:57;40 742,00;e4:98:d1:f9:d6:ce;Windows-Phone;Microsoft Mobile Oy;Windows (Mobile) 8 / Windows (Mobile) 10;11 478,00;15 912,00;SALON-3C_AP4
18/10/2016 19:36;4 812,00;c4:b3:01:28:ec:14;iPhonedeMOUNIA;Unknown;iOS;248,00;300,00;SALON-1D_AP1
18/10/2016 10:09;23 488,00;f4:09:d8:7a:91:65;Unknown;Samsung;Android;12 228,00;34 115,00;COULOIR-4CD_AP1
18/10/2016 15:49;1 013,00;dc:41:5f:5c:14:a7;Unknown;Unknown;iOS;276,00;300,00;LOGES 2C_AP
18/10/2016 20:24;12 591,00;68:fb:7e:33:48:b3;Unknown;Unknown;iOS;13 528,00;192 282,00;COULOIR-4CD_AP1
18/10/2016 16:39;47 639,00;ec:9b:f3:96:19:07;Unknown;Samsung;Android;570,00;2 445,00;SALON-1D_AP4
18/10/2016 19:10;44 293,00;80:4e:81:4c:37:2f;android-af952f3b3b8c25e4;Samsung;Android;260,00;3 594,00;LOGES-3CD_AP4
18/10/2016 21:35;6 601,00;3c:83:75:a7:00:2c;Unknown;Microsoft Corporation;Windows (Mobile) 8 / Windows (Mobile) 10;13 640,00;9 700,00;LOGES-2D_AP
18/10/2016 17:43;4 121,00;68:fb:7e:33:48:b3;Unknown;Unknown;iOS;380,00;619,00;SALON-6C_AP1
18/10/2016 16:48;228 716,00;4c:66:41:03:94:32;Unknown;Unknown;Android;25 698,00;11 579,00;LOGES-3CD_AP4
18/10/2016 19:30;78 419,00;d0:22:be:6f:82:2d;android-b3b1ed748e66958e;Samsung;Android;2 724,00;8 081,00;MEDIAS-CONF_AP1
18/10/2016 15:19;81 327,00;c4:b3:01:28:ec:14;iPhonedeMOUNIA;Unknown;iOS;1 928,00;1 336,00;PORTE-35_AP1
18/10/2016 20:31;9 146,00;ac:5f:3e:29:4e:3a;Samsung-Galaxy-S7;Unknown;Android;309,00;254,00;COULOIR-4CD_AP1
18/10/2016 18:53;10 040,00;78:31:c1:16:e6:db;Unknown;Apple;iOS;121,00;1 804,00;LOGES-5CD_AP1
18/10/2016 18:16;287 488,00;7c:fa:df:be:38:82;utilisarsiPhone;Apple;iOS;45 150,00;250 361,00;LOGES-2D_AP
18/10/2016 19:44;5 604 287,00;60:f8:1d:11:18:3a;Unknown;Apple;iOS;192 370,00;890 651,00;LOGES-2D_AP
18/10/2016 15:33;44 038,00;f0:99:bf:37:cc:5e;iPhonedlexandre;Apple;iOS;220,00;254,00;SALON-4D_AP1
18/10/2016 18:39;20 991,00;00:6d:52:35:e4:aa;iPhone;Apple;iOS;2 082,00;2 185,00;COULOIR-3CD_AP
18/10/2016 17:25;13 386,00;80:4e:81:4c:36:3d;Unknown;Samsung;Android;9 646,00;12 030,00;SALON-2C_AP3
18/10/2016 21:28;26 735,00;68:db:ca:bd:f8:d2;iPhone-de-Dany;Unknown;iOS;220,00;254,00;COULOIR-3CD_AP
18/10/2016 18:59;6 442,00;60:a3:7d:c6:73:51;iPhone;Unknown;iOS;248,00;3 250,00;LOGES-3CD_AP3
18/10/2016 19:11;14 724,00;b8:53:ac:08:42:bc;iPhone-107;Unknown;iOS;3 726,00;346,00;LOGES-3CD_AP4
18/10/2016 21:58;15 825,00;b4:8b:19:8b:29:c4;Geilis-iPhone;Unknown;iOS;220,00;254,00;SALON-1D_AP4
18/10/2016 20:46;6 883,00;cc:25:ef:b6:b6:88;iPhonedeRobert;Apple;iOS;1 522,00;1 772,00;COULOIR-4CD_AP2
18/10/2016 19:01;47 828,00;cc:25:ef:b6:b6:88;iPhonedeRobert;Apple;iOS;8 194,00;23 071,00;SALON-4D_AP1
18/10/2016 21:37;13 845,00;8c:8e:f2:cc:18:92;iPhonedoussafir;Unknown;iOS;8 245,00;46 062,00;PORTE-35_AP1
18/10/2016 14:42;309 432,00;4c:66:41:03:94:32;Unknown;Unknown;Android;45 009,00;25 307,00;LOGES-3CD_AP5
